k,DBI (assignment),DBI (sklearn),Silhouette,Inertia,ARI (vs rooms),NMI (vs rooms)
2,1.594439607714888,1.146325111334614,0.38225302113768045,1990889.1523809521,0.49814710836608644,0.666757597700285
3,1.6270235406399405,1.1471229728822443,0.36999267367341254,1553051.5773809522,0.7011520106994134,0.8533158069648445
4,1.7694136289669664,1.2442068676967137,0.3342041585333834,1225978.8284090909,1.0,1.0
5,2.5290020393756256,1.7707187686393318,0.2514951891993814,1194023.0409090908,0.9166893476453416,0.9424943919198979
6,3.6754937636891394,2.5691024035301053,0.2063823483021976,1166787.900448279,0.8268486961707258,0.8915272853305063
7,4.36903012661178,3.0529523217729477,0.14822974165040764,1143717.4529843633,0.7099729060471279,0.8423452543998337
8,4.623966663263375,3.2299599378975485,0.07621448186734002,1122016.7872854485,0.5990747716514099,0.8009499856634829
9,4.568491119671928,3.183702608662524,0.07656860693277995,1100235.0747145058,0.5676225572316619,0.7817968671593019
10,4.82399336795701,3.3516551765828817,0.07001266547229403,1093678.2394824014,0.5416303513571231,0.7645432459956976
